"block","name","title","word1","word2","statement1","statement2","question","positive","negative","answer","type","format","immersion"
2,"soccer","A missed opportunity","success","None","You are driving home after a soccer game your team won. As your mind wanders, you think about the one goal that you missed. Overall, you consider your performance a success.","None","Reflecting on the soccer game, you think that…","You tried your best and played well. ","You played poorly. ","Positive","Other","Visual","none"
2,"computer","Computer course assessment","favorably","None","You have almost completed a computer course. Part of your grade will be determined by a presentation that is to be graded by your classmates. You know most of them and feel that their opinions of you will make them grade your work more favorably.","None","Your classmates will probably…","Give you a good score.","Give you a bad score.","Positive","Social","Visual","none"
2,"meeting","Contributing to a discussion","exciting","None","Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your colleagues will find your ideas to be exciting.","None","The people in your office will probably…","Support your ideas.","Dislike your ideas. ","Positive","Social","Visual","picture"
2,"aisle","A loud cough","disgust","grateful","You are shopping in a grocery store. As you walk down an aisle, you cough very loudly into your sleeve, and other shoppers turn and glance your way, looking at you with disgust.","In the end, you realize that people turned around as a reflex reaction, and your cough probably reminded them to take the flu shot this year. As a result, they feel grateful.","The other shoppers probably looked at you because…","They reflexively turned toward the sound.","What you did was strange or rude.","Positive","Social","Visual","picture"
2,"proofread","Short story feedback","poor","None","You write a short story to enter in a competition and need someone to proofread it. You ask your friend to proofread it, and he gives you a few suggestions on how to improve the story. Reading over the feedback, you feel that your friend probably thinks your work is poor.","None","After reading your short story, your friend probably thinks that…","You have a good chance of winning the competition.","You are a poor writer.","Negative","Social","Visual","none"
2,"skating","First time ice skating","minimal","None","Your friend enjoys ice skating and persuades you to try it out. At the rink you put on the skates and step on the ice. You glide forward, slowly at first, then faster, and think your chances of getting injured are minimal.","None","As you continue ice skating, you will probably…","Successfully skate around the rink several times. ","Fall over and hurt yourself.","Positive","Other","Visual","none"
2,"lunch","An unwashed table","tolerable","None","You meet a friend for lunch at a new restaurant. Once you sit down, you realize that your table was not wiped down after the previous customers left, which makes you anxious about germs. You decide to stay and have lunch with your friend, and your anxiety is tolerable.","None","While eating lunch with your friend, you…","Are able to enjoy the conversation.","Are unbearably anxious.","Positive","Physical_NonAnxSensitive","Visual","none"
2,"glass","A quick drink","observe  ","None","Returning home on a very hot day, you quickly drink a large glass of water. You soon feel abnormally full and a bit sick to your stomach. This feeling is surprising and uncomfortable, but you realize that it is something you can simply observe.","None","You responded to the feelings of sickness in your stomach by…","Observing the sensations without doing anything.","Panicking about the sensations and calling an ambulance.","Positive","Physical_AnxSensitive","Visual","none"
3,"trivia","Trivia tournament","disappointed","admirable","You are persuaded to join a trivia team in a tournament. You are told that most of the questions will be asked of individuals, in different rounds. When it's your turn, you get all the answers wrong, and the others look very disappointed.","In the end, you realize that your round was a particularly hard one. Looking around the table, you see that the others found the effort you put in to be very admirable.","The people on your team most likely…","Are impressed by your determination.","Think you are bad at trivia.","Positive","Social","Visual","picture"
3,"race","Running your first race","meaningless","None","Last weekend you ran your first race. Since then, you have been experiencing slight pain in your hip. Walking around, you think this pain is probably meaningless.","None","You think that the pain in your hip is…","Temporary.","A sign of serious injury. ","Positive","Physical_NonAnxSensitive","Visual","none"
3,"foreign","A foreign country","awesome","None","For your vacation this year you are visiting a foreign country for the first time. When you are there, everything around you feels different and strange. You think this is awesome.","None","In this country, you think you will find…","Opportunities to learn and experience the culture.","Yourself in troublesome situations.","Positive","Physical_AnxSensitive","Visual","none"
3,"disagreement","Resolving a disagreement","calm","None","You have a minor disagreement with a coworker about the best way to complete a task, and you decide to ask your boss about it. When you talk to your boss, you momentarily forget what you were about to say. Your boss thinks you sound calm.","None","Your boss probably thinks…","You are thoughtful and collected.","You are stupid and incompetent.","Positive","Social","Visual","none"
3,"reply","Suggestion to meet again","enjoyable","None","You meet someone at a party and feel that you got along well. Later, you call and suggest meeting again. The reply you get makes you feel that the person thinks meeting again would be enjoyable.","None","The person you met at the party will probably…","Say yes if you ask them on a date.","Say no if you ask them on a date.","Positive","Social","Visual","picture"
3,"story","Controversial news story","disagrees","respect","You are having a conversation with a coworker about a recent controversial story in the news. You voice your opinion on the matter, and your coworker looks surprised and strongly disagrees.","At the end of the conversation, you realize that although the discussion was heated, your coworker probably thinks that you both have strong convictions. You have earned your coworker's respect.","The next time you meet, your coworker will most likely…","Start up a conversation.","Avoid speaking with you. ","Positive","Social","Visual","none"
3,"date","Thoughts about a date","normal","None","You have a date scheduled with someone you have liked for a while. On the day of the date, you feel a little nervous as you wonder whether your date will like you as much as you like your date. Feeling nervous is normal.","None","You probably feel nervous because…","You haven't gone on a date in a while.","You are unlikeable.","Positive","Social","Visual","picture"
3,"mountain","Learning how to ski","enjoyable","None","You are on holiday at a mountain resort and are learning how to ski. This is your first attempt to ski downhill on your own. You approach the first bend at a moderate speed and think that skiing is enjoyable.","None","Once you reach the bend, you will probably…","Clear it and continue skiing downhill.","Fall down.","Positive","Other","Visual","none"
3,"appliances","Switched off appliances","nervous","None","It's the start of a long weekend and you are heading out for vacation. You leave before double-checking that all the appliances in your house are turned off. As you close the door to your house, you feel nervous.","None","While on vacation, you think about…","How much fun you are having. ","Whether you turned off the kitchen light.","Negative","Other","Visual","none"
3,"nightclub","Entering a nightclub","interesting","None","You are out of town visiting friends and decide to go out dancing. Walking into a nightclub for the first time, you feel that the things around you are very unreal. This is interesting.","None","The lights and sounds of the club make you feel…","Excited and lively.","Disoriented and scared.","Positive","Physical_AnxSensitive","Visual","none"
4,"couch","Conversing at a party","distracted","None","You are at a party with people you do not know well. You decide to join some people who are sitting on a couch and talking. When you try to enter the conversation, the people on the couch continue talking to each other, because they were probably distracted.","None","The group that was talking probably ignored you because they…","Did not see you there.","Do not like you. ","Positive","Social","Visual","none"
4,"cake","A birthday cake","minimal","None","Your neighbor bakes you a cake for your birthday. When she delivers it in the evening, she notes that she has recently gotten over the flu. Holding the cake, you think your chances of becoming sick are minimal.","None","If you eat the cake, you will probably…","Enjoy it. ","Get sick. ","Positive","Physical_NonAnxSensitive","Visual","none"
4,"flushed","Feeling a little flushed","normal","None","You are at a birthday party for the friend of a friend. You notice that you are flushed and a little sweaty. Standing there, you think that these sensations are normal.","None","People will probably...","Not see you sweat since the room is dimly lit.","Notice that you are sweating.","Positive","Social","Visual","picture"
4,"jogging","An outdoor stumble","jokes","None","You are outside jogging and see a group of people ahead of you. As you pass them, you stumble slightly and feel a little foolish. You hear them laugh as you pass by, and assume that they are laughing at jokes.","None","The group of runners was probably laughing because…","Someone told a funny joke.","They saw you stumble.","Positive","Social","Visual","picture"
4,"trampoline","Bouncing on a trampoline","safe","None","You are bouncing on your friend’s trampoline. You have fun with your friends but also consider your safety. While bouncing up and down on the trampoline, you feel quite safe.","None","As you continue to jump on the trampoline, you will probably…","Enjoy yourself.","Hurt yourself. ","Positive","Other","Visual","none"
4,"sniffles","A sick coworker","high","None","You have a meeting with a coworker and notice that he repeatedly sniffles and wipes his nose with a tissue. After the meeting, you wash your hands. The chances that you will get sick from your coworker are high.","None","After this meeting, you are probably…","Excited to work with your coworker. ","Infected with a cold virus.","Negative","Physical_NonAnxSensitive","Visual","none"
4,"boat","Out on a boat","funny","None","You spend the day on a boat with your friends. When you get off the boat, your legs feel strange and you have trouble walking. This sensation is funny.","None","The feeling in your legs is probably…","Temporary and nothing you should be worried about.","Something you should be worried about.","Positive","Physical_AnxSensitive","Visual","none"
4,"invite","A heated discussion","argumentative","entertaining","You invite work colleagues to your house for a dinner party, although you know they don't always get along. At dinner, the discussion gets very loud and argumentative.","As you are clearing up afterwards, you realize that despite it being heated, the debate between your guests was respectful and refreshing. They probably found the party entertaining.","Your guests probably thought the dinner party was…","A success and a good idea. ","A failure and a bad idea.","Positive","Social","Visual","picture"
4,"brother","Reconciling with your brother","exhausted","None","A few days after an argument with your brother, you decide to break the ice by asking him out for a drink. You get ready, and as you are about to leave, he calls to say he can't make it after all. As you hang up, you think that this is because he is feeling exhausted.","None","Your brother cancelled the meeting because he is…","Exhausted from a busy week.","Mad at you. ","Positive","Social","Visual","none"
4,"cardio","Cardio class","notice them","None","It's Wednesday night and your friend convinces you to take a high-intensity cardio class. About halfway through you stop exercising because you feel you can't catch your breath. As you begin to have anxious thoughts about passing out, you decide to simply notice them.","None","When feeling like you can't catch your breath, it is helpful to…","Just observe your anxious thoughts and sensations without judgement","Judge your breathlessness as bad or harmful","Positive","Physical_AnxSensitive","Visual","none"
