"block","name","title","word1","word2","statement1","statement2","question","positive","negative","answer","type","format","immersion"
3,"pan","Hot pan burn","minor","None","While making dinner, you accidentally touch a hot pan. You quickly put your finger under cold water. After a few minutes, you think the burn is minor.","None","After running water over your finger, your burn will probably…","Hurt much less.","Remain very painful.","Positive","Physical_NonAnxSensitive","Visual","none"
3,"relax","Comfortable couch","calm","None","You had a very busy day, and in the evening you are finally able to relax. As you sit on your couch, you feel spacey. You are calm.","None","You feel strange because…","You only had one glass of water today.","You are coming down with the flu.","Positive","Physical_AnxSensitive","Visual","none"
3,"email","An email reminder","tolerable","None","Although you are normally on time for work events, today you receive an email from your boss saying that you are a few minutes late for a scheduled meeting with her, which you had completely forgotten about. As you quickly head to the office, you wonder whether she is going to judge you for being late. As you walk into the room, your anxiety is tolerable.","None","During the meeting, your boss will probably think you are…","Competent, even though you made a mistake. ","Irresponsible and nervous.","Positive","Social","Visual","none"
4,"parents","Chatty parents","pleasant","None","When you collect your child from school, you hear some of the parents talking about other people. As you walk closer to them, you overhear your name. When they see you, they smile and greet you, and you think that they were probably saying something pleasant.","None","The other parents were probably…","Giving you a compliment.","Talking poorly about you.","Positive","Social","Visual","picture"
4,"cut","Fruit slice","healed","None","At a picnic with some friends, you accidentally cut your finger while slicing fruit. Because you are outside, you are not able to wash it out immediately with soap and water. In a few days, your cut will be healed.","None","The cut will probably…","Heal quickly.","Become infected.","Positive","Physical_NonAnxSensitive","Visual","none"
4,"office","The office door","Positive","None","You get home from work on a Friday evening and wonder whether you locked the office door. You usually lock the door, but you still feel anxious not knowing for sure. Your weekend away from the office will be enjoyable.","None","Over the weekend, you will…","Rest and spend time with friends.","Worry about whether you locked the door. ","Positive","Other","Visual","none"
4,"feedback","Your report evaluation","frown","opportunity","You recently turned in a report, and your boss asks to see you about your work. As you walk into his office, he tells you to sit down because there's lots of feedback to go through, and he looks at you with a frown.","During the meeting, you realize that your boss is taking great care to give you useful feedback and that he sees this as a way to provide you with a valuable learning opportunity.","Your boss probably thinks that…","You have great potential.","You are incapable.","Positive","Social","Visual","none"
4,"member","A sip of water","continue","None","You are a member of a club and are told you need to give a presentation to other club members. When it is time to present, you have a sip of water. As you begin to speak, you feel scared and decide to continue.","None","The club members probably think…","You look calm and composed during your presentation.","You look very nervous during your presentation.","Positive","Social","Visual","picture"
4,"breathe","Climbing stairs","alarming","None","You are walking up a set of stairs at work. Halfway up, you begin to breathe more rapidly. This is alarming.","None","With every breath, you think that…","You are glad to be getting some exercise.","You are going to pass out before you reach the top.","Negative","Physical_AnxSensitive","Visual","none"
4,"tour","A lucky find","fine","None","You are looking for a new apartment. While on your first tour, you fall in love with the place and decide to sign a lease. The fact that you did not check out other apartments makes you feel fine.","None","When you move into your apartment, you will probably…","Find that your apartment feels like home. ","Regret your decision. ","Positive","Other","Visual","none"
4,"theater","Theater group ideas","interesting","None","You are on the committee of an amateur theater group, which is planning a new production. At the first meeting, the director asks you for ideas about which play to perform. Everybody pauses after you say your ideas, and you think the others find your thoughts interesting.","None","Everyone probably believes…","You have innovative ideas.","Your ideas are stupid.","Positive","Social","Visual","picture"
4,"mile","Sunday morning run","proud","None","It's Sunday morning and you just ran a mile outside. Taking off your running shoes in the hallway, you are short of breath. You feel proud.","None","You should grab…","A bottle of water and a post-workout snack.","Your inhaler because you are probably having an asthma attack.","Positive","Physical_AnxSensitive","Visual","none"
4,"entrance","Blind date hesitation","offended","endearing","You are going on a blind date and just arrived at the restaurant. As you walk up to the entrance, you suddenly feel very nervous and turn around to leave, but quickly change your mind. At this moment, your date arrives and looks very offended.","At the end of the date, you realize that it is very common to feel a little uneasy in situations like these. Having explained and apologized, you believe that your date found your hesitation funny and endearing.","Your date's impression of you is probably…","Positive.","Negative.","Positive","Social","Visual","picture"
